reference,value,footprint,datasheet,qty
">  C1, C17, C18",330p,Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm,~,3
    C2,0.47u,Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm,~,1
    C7,0.01u,Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm,~,1
    C8,0.2u,Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm,~,1
">  C3-C6, C9, C10",0.1u,Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm,~,6
    C11,10uf,Capacitor_THT:CP_Radial_D6.3mm_P2.50mm,~,1
>  C12-C16,10u,Capacitor_THT:CP_Radial_D6.3mm_P2.50mm,~,5
    power_suplly_6V1,Conn_01x02_Female,Connector_BarrelJack:BarrelJack_Horizontal,~,1
    in_Phase_Output1,In Phase Output,Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical,~,1
    LED_enable1,LED enable,Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical,~,1
    Quadratic_Output1,Quadratic Output,Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical,~,1
    TP:_+12V1,TP - +12V,Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical,~,1
    TP:_+5V1,TP - +5V,Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical,~,1
    TP:_+6V1,TP - +6V,Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical,~,1
    TP:_+9V1,TP - +9V,Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical,~,1
    TP:_-12V1,TP - -12V,Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical,~,1
    TP:_-9V1,TP - -9V,Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical,~,1
    TP:_555_output1,TP - 555_output,Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical,~,1
    TP:_AD630_out_x1,TP - AD630_out_x,Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical,~,1
    TP:_AD630_out_y1,TP - AD630_out_y,Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical,~,1
    TP:_amp_out1,TP - amp_out,Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical,~,1
    TP:_clock1,TP - clock_0,Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical,~,1
    TP:_clock_90,TP - clock_90,Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical,~,1
    TP:_GND1,TP - GND,Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical,~,1
